league_id,team_id0,team_id1,winner,finished,best_of,played,round,result0,result1
100,0,792,792,1,1,0,0,0,1
100,794,801,801,1,1,1,0,0,1
100,0,804,804,1,1,0,0,0,1
100,0,796,796,1,1,0,0,0,1
100,0,824,824,1,1,0,0,0,1
100,818,809,818,1,1,1,0,1,0
100,0,813,813,1,1,0,0,0,1
100,0,820,820,1,1,0,0,0,1
100,792,801,801,1,5,4,1,1,3
100,804,796,796,1,5,5,1,2,3
100,824,818,824,1,5,5,1,3,2
100,813,820,820,1,5,3,1,0,3
100,801,796,796,1,7,4,2,0,4
100,824,820,820,1,7,7,2,3,4
100,796,820,820,1,7,5,3,1,4
101,0,841,841,1,1,0,0,0,1
101,835,836,836,1,1,1,0,0,1
101,0,833,833,1,1,0,0,0,1
101,0,830,830,1,1,0,0,0,1
101,0,846,846,1,1,0,0,0,1
101,856,861,861,1,1,1,0,0,1
101,0,851,851,1,1,0,0,0,1
101,0,847,847,1,1,0,0,0,1
101,841,836,836,1,5,5,1,2,3
101,833,830,830,1,5,3,1,0,3
101,846,861,861,1,5,4,1,1,3
101,851,847,847,1,5,5,1,2,3
101,836,830,830,1,7,6,2,2,4
101,861,847,861,1,7,7,2,4,3
101,830,861,830,1,7,7,3,4,3
102,876,865,876,1,5,4,0,3,1
102,875,873,875,1,5,3,0,3,0
102,868,863,868,1,5,5,0,3,2
102,869,867,869,1,5,4,0,3,1
102,884,887,884,1,5,5,0,3,2
102,885,886,885,1,5,5,0,3,2
102,893,883,893,1,5,4,0,3,1
102,901,899,899,1,5,3,0,0,3
102,876,875,876,1,7,7,1,4,3
102,868,869,868,1,7,6,1,4,2
102,884,885,884,1,7,6,1,4,2
102,893,899,899,1,7,4,1,0,4
102,876,868,876,1,7,6,2,4,2
102,884,899,899,1,7,6,2,2,4
102,876,899,0,0,7,2,3,0,2
103,907,908,908,1,7,7,0,3,4
103,913,911,911,1,7,7,0,3,4
103,908,911,0,0,7,5,1,2,3
